"id","residentId","alphaChore","betaChore","preference"
2099,"U09VDBNQ63W","Bring In And Sort Mail (All)","Load Dishwasher/Handwash Dirty Dishes (U)","0.3"
2100,"U09VDBNQ63W","Bring In And Sort Mail (All)","Put Away Clean Dishes From Dish Rack (U)","0.3"
2101,"U09VDBNQ63W","Bring In And Sort Mail (All)","Unload Dishwasher (U)","0.3"
2041,"U09VDBNQ63W","Collect And Recycle Plastic Bags At Grocery Store (All)","Water Indoor Plants (U)","0.3"
2096,"U09VDBNQ63W","General Tidying (U)","Load Dishwasher/Handwash Dirty Dishes (U)","0.3"
2097,"U09VDBNQ63W","General Tidying (U)","Put Away Clean Dishes From Dish Rack (U)","0.3"
2098,"U09VDBNQ63W","General Tidying (U)","Unload Dishwasher (U)","0.3"
2042,"U09VDBNQ63W","Water Indoor Plants (U)","Refill Small Living Room Fountain (U)","0.7"
2044,"U09VDBNQ63W","Water Indoor Plants (U)","Run Bonozoomy (U)","0.7"
2309,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.9868613"
2310,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.9868613"
2311,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.9868613"
2312,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.9868613"
2313,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.9868613"
2314,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Rent By 28Th Of Month (Andrew)","0.9868613"
2315,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Rent By 28Th Of Month (Beacon)","0.9868613"
2316,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Rent By 28Th Of Month (Bill)","0.9868613"
2317,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Rent By 28Th Of Month (Megan)","0.9868613"
2318,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Pay Rent By 28Th Of Month (Savannah)","0.9868613"
2306,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Put Out Trash Bins On Curb (All)","0.9768786"
2300,"U0A08LXH1CZ","Beacon's Chore App Management (U)","Take Out The Trash (U)","0.91351354"
2293,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Beacon's Chore App Management (U)","0.4600639"
1103,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Bring Trash Bins In From Curb (All)","0.972973"
1105,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Check/Rebalance Hot Tub (All)","0.8767123"
1107,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Clean Countertop (U)","0.82639885"
1108,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Clean Stove (U)","0.746114"
1112,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.9411765"
1124,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.8"
1100,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Empty Bonoloomy (U)","0.9411765"
1095,"U0A08LXH1CZ","Bring In And Sort Mail (All)","General Tidying (U)","0.374756"
1098,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Load Dishwasher/Handwash Dirty Dishes (U)","0.374756"
2266,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Megan's Chore App Management (U)","0.4600639"
2335,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.9846154"
2336,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.9846154"
2337,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.9846154"
2338,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.9846154"
2339,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.9846154"
2340,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Rent By 28Th Of Month (Andrew)","0.9846154"
2341,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Rent By 28Th Of Month (Beacon)","0.9846154"
2342,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Rent By 28Th Of Month (Bill)","0.9846154"
2343,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Rent By 28Th Of Month (Megan)","0.9846154"
2344,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Pay Rent By 28Th Of Month (Savannah)","0.9846154"
1099,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Put Away Clean Dishes From Dish Rack (U)","0.374756"
2332,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Put Out Trash Bins On Curb (All)","0.972973"
1117,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Refill Ballroom Fountain (All)","0.9411765"
1114,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Refill Small Living Room Fountain (U)","0.972973"
1115,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Run Bonozoomy (U)","0.972973"
1104,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Spread Compost On Fruit Trees (All)","0.9411765"
2326,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Take Out The Trash (U)","0.9"
1097,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Unload Dishwasher (U)","0.521267"
1118,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.972973"
1106,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Water Air Plants (U)","0.521267"
1121,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Water Indoor Plants (U)","0.42352942"
1102,"U0A08LXH1CZ","Bring In And Sort Mail (All)","Water Outdoor Plants (All)","0.42352942"
2305,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Beacon's Chore App Management (U)","0.023121387"
1440,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Check/Rebalance Hot Tub (All)","0.16494845"
1426,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Clean Countertop (U)","0.11678832"
1443,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Clean Stove (U)","0.0754717"
1432,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.30769232"
1437,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.1"
2278,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Megan's Chore App Management (U)","0.023121387"
2569,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.64"
2570,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.64"
2571,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.64"
2572,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.64"
2573,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.64"
2574,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Rent By 28Th Of Month (Andrew)","0.64"
2575,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Rent By 28Th Of Month (Beacon)","0.64"
2576,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Rent By 28Th Of Month (Bill)","0.64"
2577,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Rent By 28Th Of Month (Megan)","0.64"
2578,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Pay Rent By 28Th Of Month (Savannah)","0.64"
2566,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Put Out Trash Bins On Curb (All)","0.5"
1436,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Refill Ballroom Fountain (All)","0.30769232"
1433,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Refill Small Living Room Fountain (U)","0.5"
1434,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Run Bonozoomy (U)","0.5"
1439,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Spread Compost On Fruit Trees (All)","0.30769232"
2485,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Take Out The Trash (U)","0.2"
1438,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.5"
1441,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Water Air Plants (U)","0.029357798"
1442,"U0A08LXH1CZ","Bring Trash Bins In From Curb (All)","Water Indoor Plants (U)","0.02"
2299,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Beacon's Chore App Management (U)","0.10700132"
1494,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Clean Countertop (U)","0.4009901"
1495,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Clean Stove (U)","0.29241878"
1507,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.6923077"
1501,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.36"
2272,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Megan's Chore App Management (U)","0.10700132"
2470,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.9"
2471,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.9"
2472,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.9"
2473,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.9"
2474,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.9"
2475,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Rent By 28Th Of Month (Andrew)","0.9"
2476,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Rent By 28Th Of Month (Beacon)","0.9"
2477,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Rent By 28Th Of Month (Bill)","0.9"
2478,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Rent By 28Th Of Month (Megan)","0.9"
2479,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Pay Rent By 28Th Of Month (Savannah)","0.9"
2467,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Put Out Trash Bins On Curb (All)","0.83505154"
1500,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Refill Ballroom Fountain (All)","0.6923077"
1497,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Refill Small Living Room Fountain (U)","0.83505154"
1498,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Run Bonozoomy (U)","0.83505154"
2461,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Take Out The Trash (U)","0.5586207"
1502,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.83505154"
1493,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Water Air Plants (U)","0.13278688"
1508,"U0A08LXH1CZ","Check/Rebalance Hot Tub (All)","Water Indoor Plants (U)","0.09364162"
2298,"U0A08LXH1CZ","Clean Countertop (U)","Beacon's Chore App Management (U)","0.15181932"
1581,"U0A08LXH1CZ","Clean Countertop (U)","Clean Stove (U)","0.38170347"
1580,"U0A08LXH1CZ","Clean Countertop (U)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.77070063"
1572,"U0A08LXH1CZ","Clean Countertop (U)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.45660377"
2271,"U0A08LXH1CZ","Clean Countertop (U)","Megan's Chore App Management (U)","0.15181932"
